1.54760434e+12	1.70000000e-98	1.00000000e-100	2.96170153e-02
1.65441876e+12	8.83250777e-06	2.70628028e-02	3.02159980e-02
1.76860542e+12	1.39311863e+00	4.26851533e+03	3.08270946e-02
1.89067316e+12	1.76511556e+00	3.99278508e+03	3.14505502e-02
2.02116592e+12	1.25085353e+00	3.73483556e+03	3.20866147e-02
2.16066519e+12	1.32881240e+01	3.49354007e+03	3.27355431e-02
2.30979258e+12	1.98013878e+01	3.26782338e+03	3.33975957e-02
2.46921263e+12	2.28888770e+01	3.05667967e+03	3.40730378e-02
2.63963572e+12	2.38873116e+01	2.85916806e+03	3.47621403e-02
2.82182127e+12	2.36436243e+01	2.67440842e+03	3.54651793e-02
3.01658113e+12	2.26978788e+01	2.50157745e+03	3.61824368e-02
3.22478316e+12	2.13807646e+01	2.33990500e+03	3.69142003e-02
3.44735513e+12	1.99005429e+01	2.18867063e+03	3.76607632e-02
3.68528884e+12	1.83767838e+01	2.04720044e+03	3.84224247e-02
3.93964455e+12	1.68835965e+01	1.91486402e+03	3.91994904e-02
4.21155568e+12	1.54580161e+01	1.79107166e+03	3.99922716e-02
4.50223390e+12	1.41211652e+01	1.67527174e+03	4.08010862e-02
4.81297451e+12	1.28801579e+01	1.56694823e+03	4.16262585e-02
5.14516218e+12	1.17367215e+01	1.46561845e+03	4.24681194e-02
5.50027718e+12	1.06872792e+01	1.37083085e+03	4.33270062e-02
5.87990194e+12	9.72709922e+00	1.28216305e+03	4.42032635e-02
6.28572809e+12	8.85054262e+00	1.19921995e+03	4.50972423e-02
6.71956404e+12	8.05092872e+00	1.12163193e+03	4.60093013e-02
7.18334301e+12	7.32274255e+00	1.04905326e+03	4.69398060e-02
7.67913163e+12	6.65920539e+00	9.81160518e+02	4.78891295e-02
8.20913919e+12	6.05563827e+00	9.17651173e+02	4.88576523e-02
8.77572745e+12	5.50596365e+00	8.58242218e+02	4.98457628e-02
9.38142117e+12	5.00623279e+00	8.02668922e+02	5.08538572e-02
1.00289194e+13	4.55141412e+00	7.50683645e+02	5.18823395e-02
